"",".y.","group1","group2","n1","n2","statistic","p","p.adj","p.adj.signif","y.position","xmin","xmax"
"1","Chao1","ctr","ctr+rif",8,8,60,0.002,0.012,"*",411.30852,1,2
"2","Chao1","ctr","ccl4",8,8,39,0.505,0.606,"ns",418.878744,1,3
"3","Chao1","ctr","ccl4+rif",8,8,29,0.793,0.793,"ns",426.448968,1,4
"4","Chao1","ctr+rif","ccl4",8,8,12,0.038,0.076,"ns",434.019192,2,3
"5","Chao1","ctr+rif","ccl4+rif",8,8,4,0.004,0.012,"*",441.589416,2,4
"6","Chao1","ccl4","ccl4+rif",8,8,23,0.372,0.558,"ns",449.15964,3,4
