"CC34_36_S5","CC35_S16","CC37_1_S6","CC37_2_S31","CC38_S32","CC39_S33","CC41_S34","CC42_1_S17","CC42_2_S35","CC45_S15","CCR43_S36","CCR44_S37","CCR45_S38","CCR47_S39","CCR48_S40","CCR50_S20","CCR51_S19","CCR55_S7","CCR56_S8","CCR62_S18","CR18_S13","CR19_S14","CR23_S3","CR24_S4","CR29_S12","CR31_S26","CR32_S27","CR33_S28","CR35_S29","CR36_S30","CV1_S1","CV13_S10","CV14_S11","CV16_S2","CV25_S21","CV26_S22","CV27_S23","CV29_S24","CV30_S25","CV5_S9"
10770,25741,13406,1669,2613,3608,1513,10357,1201,10024,792,1297,589,178,1271,3305,10143,20575,8654,7462,4481,9022,28807,18168,14132,6590,1945,306,2141,1676,13754,8440,6978,11022,2862,2465,4300,1675,1165,3171
267,1902,1249,3010,4021,1232,542,2683,5171,1627,8555,8724,2056,480,327,2632,7438,0,0,8907,1286,4739,0,0,204,772,11259,9357,5608,2729,1290,11175,2266,598,10406,12931,194,5792,5748,96
550,11199,3857,183,4959,7435,1874,4845,707,6772,76,145,644,1297,333,7054,7783,3166,641,3797,1221,1884,8100,235,0,5642,3479,233,120,7,7714,40,1299,11939,4617,2292,5592,5454,2088,14861
862,0,7000,1408,228,3529,11481,4722,1850,1605,0,0,0,0,0,131,4638,9337,554,2508,2523,4088,4653,587,1268,12,12,0,6578,3043,7,1347,1812,0,6385,8377,3813,7532,19429,9
6436,0,4742,3496,428,2731,2200,20,2798,0,717,376,399,494,1190,550,548,11415,2340,1679,1941,11013,8426,1083,7798,2564,289,343,1151,83,1519,611,195,6171,451,4983,2419,401,177,472
917,2746,117,1665,925,1388,1471,1604,1117,4891,1749,1835,2423,1070,3053,4921,3703,1623,1210,2139,1538,1246,1107,328,295,801,953,1151,2298,2616,533,2276,1864,741,4045,1392,2823,3329,3432,2499
0,4361,0,4756,7916,3902,510,1162,640,345,351,927,5566,3382,4215,0,0,0,0,0,0,0,0,0,0,0,0,0,4468,5851,0,1868,174,0,232,0,0,1144,1295,2802
68,613,420,1011,1400,408,196,933,1768,548,3037,2962,702,168,147,905,2597,0,0,3130,430,1683,0,0,77,254,3694,3325,1981,898,477,3720,784,206,3655,4401,59,1883,2009,32
0,1944,0,37,37,0,2574,0,600,2440,3825,2841,1039,1253,702,684,1412,0,0,2261,684,1399,0,0,0,959,1479,1550,2609,1749,543,3852,4427,0,2645,2011,149,0,3375,0
57,5,305,1280,2083,1675,985,0,965,0,2154,23,9,655,1461,4242,5679,371,81,7,4432,1169,2444,216,251,34,8,12,200,25,1664,0,0,0,836,1097,4622,0,3389,13
247,0,869,3104,1496,1962,1693,854,422,80,3877,1469,714,2129,2631,417,657,10,0,114,0,652,654,296,997,149,1087,1386,1045,857,1557,0,129,10,582,2328,546,1724,1079,0
93,615,0,1282,1057,443,1835,269,479,1651,939,914,488,1551,1173,1044,1649,812,887,559,480,365,1184,268,210,869,770,2209,1650,1892,567,1077,961,159,553,954,658,1325,1477,68
687,976,215,633,746,2581,153,631,527,1235,972,433,900,402,1814,1490,103,526,443,701,518,756,202,239,877,1091,2747,356,461,363,796,783,414,1026,1614,177,1176,592,975,1311
1302,0,0,41,22,0,6629,0,0,5,14,0,446,1572,7,0,27,0,0,31,292,763,0,26,7,153,2356,2262,1956,2092,11,293,281,107,11,2152,0,2338,3351,0
332,943,48,583,329,516,524,561,407,1806,555,628,830,581,1352,1843,1553,524,410,729,485,376,382,144,70,372,451,489,1009,1135,118,878,594,227,1374,517,1031,1043,1020,803
127,2731,0,139,400,94,0,335,16,4278,0,0,135,37,291,6463,293,314,328,1094,1530,1078,3,203,97,529,13,0,10,32,1376,13,36,212,52,0,95,6,46,3961
0,0,0,0,0,0,0,0,0,0,0,0,0,3305,4521,1250,2788,0,0,3975,0,1149,0,0,0,0,0,0,2535,4596,0,0,0,161,0,0,0,0,0,7
1323,208,591,2586,906,1009,2482,488,336,189,1337,890,486,574,1742,505,316,171,468,407,26,31,35,19,12,321,801,423,1320,1221,703,30,16,63,545,562,194,306,521,23
0,0,0,1564,1340,2068,1180,0,494,0,1032,795,525,1219,2087,0,0,0,0,0,0,0,0,0,0,2718,1749,470,1178,735,0,0,0,0,1075,243,1148,1766,655,0
92,47,287,4359,5858,2128,1741,10,198,412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,692,528,0,200,3423,10,70,3771,0
701,357,220,504,232,578,650,220,506,410,1029,691,933,874,1812,540,473,483,310,325,82,191,420,239,334,455,850,711,1886,1133,343,336,250,238,1090,818,605,847,698,450
0,0,0,1531,1340,2130,1182,0,520,0,1030,782,515,1144,2000,0,0,0,0,0,0,0,0,0,0,2662,1664,431,1098,745,0,0,0,0,1068,210,1084,1947,665,0
7806,31,135,12,0,135,97,0,37,0,12,12,44,22,71,2,0,3632,64,0,0,3285,893,352,97,62,10,4,28,0,212,1170,105,3070,6,479,296,33,0,199
1006,340,331,168,449,1008,48,161,198,515,110,68,215,88,871,482,73,550,324,294,273,294,1223,881,710,475,814,382,186,283,362,2081,2069,608,1209,225,882,365,387,1391
67,55,418,748,366,765,839,72,506,106,2112,1964,1513,673,129,82,45,428,369,1388,77,25,208,47,19,830,622,1486,1539,1648,271,38,149,130,282,360,257,274,311,128
0,8,0,807,982,1937,781,0,560,34,947,1233,1548,626,1515,0,31,39,34,0,18,0,0,0,0,475,152,342,1911,1673,54,57,19,103,680,861,1547,892,685,167
84,0,2164,0,0,0,19,1087,0,0,18,0,0,85,66,83,0,498,1197,918,5,271,3247,4354,5195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,25,7,839,32,178,1258,0,1726,0,3453,1700,6395,94,438,3,0,0,0,0,0,0,0,0,0,0,0,0,9,10,0,6,36,410,0,0,41,1250,115,1034
302,252,200,52,29,226,78,56,19,575,127,74,122,66,104,1701,1635,873,719,1083,966,458,1630,726,787,142,270,282,82,115,174,1639,1515,73,177,80,359,206,39,1046
903,360,237,161,334,770,60,142,175,625,84,52,186,62,557,237,76,472,314,231,267,307,1180,1101,765,340,772,322,188,303,208,1254,1210,404,1377,216,901,267,275,1289
221,1085,157,0,43,356,15,270,72,1829,0,0,0,3,54,697,1348,0,604,164,413,401,0,0,523,4037,162,121,1072,424,530,387,1396,753,89,94,713,245,459,191
38,0,179,710,320,795,652,0,407,47,2061,1925,1393,594,145,39,0,191,160,679,36,0,90,0,0,818,603,1474,1460,1803,137,0,93,51,292,332,265,290,277,62
558,0,456,5392,0,10,1731,29,2821,218,23,91,81,66,24,0,16,116,690,31,147,65,0,0,66,6,45,247,35,22,653,128,302,124,2179,565,17,677,695,0
0,559,0,0,0,0,244,26,45,149,1199,488,1059,1173,2991,736,2,1087,328,367,238,157,0,0,180,1299,533,1229,584,458,2128,0,0,939,0,0,0,0,0,0
434,553,54,496,1360,1242,81,586,494,1386,131,65,258,135,3057,159,18,454,116,207,34,306,125,194,300,82,35,41,316,162,912,49,261,1843,339,149,849,106,108,271
337,0,597,319,427,422,84,0,51,67,112,234,176,272,617,685,1319,20,953,1018,840,275,799,14,107,1489,637,594,796,749,67,320,110,51,275,217,1349,405,475,449
288,289,165,687,364,673,292,71,265,34,430,143,124,276,716,241,114,439,752,379,521,226,794,334,863,211,65,0,238,45,646,774,688,519,277,478,1642,80,114,1781
498,22,35,0,0,8,0,38,0,55,770,1963,2162,1044,664,8,15,920,1985,126,262,157,1484,308,0,578,576,2510,0,0,24,86,112,20,92,0,191,0,0,17
2,0,0,0,0,0,7,0,11,0,760,1090,1479,1138,260,0,0,4,18,2,2,1,8,0,15,715,6599,1257,962,555,0,10,9,0,311,58,407,488,74,0
0,5393,0,8,4264,19,2263,0,355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,1405,701,0,368,1328,0
0,12,0,204,26,376,1518,0,367,26,1490,2136,965,995,1054,301,10,0,0,0,0,0,0,0,0,776,1178,1163,123,245,55,16,9,0,691,84,122,824,1042,0
712,1624,287,0,0,0,0,1227,0,0,0,0,0,0,0,0,894,0,0,0,0,755,0,0,0,3289,722,168,0,5,16,0,943,796,0,0,0,0,0,3673
750,0,889,1401,2585,395,0,0,82,0,0,155,0,79,617,0,0,856,932,0,0,47,1891,1985,259,0,0,0,76,486,37,0,0,202,0,354,124,373,0,0
0,0,0,1637,1930,393,1184,2280,850,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,796,85,0,105,965,852,783,513,1172
30,0,0,1487,1881,449,1126,2324,904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,805,111,0,85,907,878,697,430,1122
0,0,0,368,374,2221,192,0,169,0,454,503,617,546,29,0,0,0,0,0,0,0,0,0,0,39,99,826,1428,1628,0,0,0,0,834,230,78,1455,1013,0
346,87,116,32,21,62,0,37,16,13,0,0,17,125,277,438,96,0,2541,965,18,10,24,62,23,25,0,0,0,0,754,69,555,5278,0,0,223,102,15,478
253,0,0,0,0,0,0,842,0,733,0,0,0,0,0,0,0,0,0,424,0,0,0,0,0,0,0,0,0,0,0,189,9139,0,0,0,0,0,0,1231
415,0,56,0,107,0,0,0,0,0,615,411,944,1184,1118,1023,616,844,99,60,0,0,761,181,11,1135,733,918,179,243,607,0,0,143,275,0,0,0,35,0
285,249,7,303,229,775,891,117,282,75,245,1019,998,210,1140,1220,517,58,21,94,111,43,39,0,14,120,85,163,363,446,44,6,29,17,646,144,811,380,287,15
0,9,0,591,737,275,900,0,303,389,1026,1283,21,461,1081,0,155,0,0,0,104,0,0,0,0,116,193,755,423,497,90,281,60,0,1523,397,190,122,282,0
0,0,0,271,498,224,688,0,436,101,685,596,235,185,617,36,315,0,401,729,128,306,0,0,77,333,241,580,404,231,1359,12,35,113,193,775,127,792,423,0
196,294,78,0,0,0,0,46,0,109,0,0,0,0,0,1417,341,123,251,22,1009,314,1651,1056,269,0,0,0,0,0,241,377,356,349,0,0,0,0,0,3617
209,172,100,693,293,570,194,56,250,0,382,97,103,211,645,150,56,259,448,261,293,138,456,132,556,185,84,23,211,0,467,298,381,329,205,318,1332,103,91,1043
325,4009,242,0,0,0,1373,101,219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,6,0,0,0,0,0,53,3095,0,2131,0
60,441,0,0,0,0,0,611,22,92,0,0,0,0,0,38,9,0,90,2623,0,1663,4813,378,0,0,0,0,0,0,0,0,0,0,43,32,205,52,50,0
0,368,14,0,0,0,0,4147,0,90,0,0,0,0,0,0,930,8,463,0,2899,744,0,0,210,0,0,0,0,0,18,0,0,806,7,0,60,0,0,397
142,0,0,0,0,0,0,0,0,0,452,985,1159,706,335,0,0,268,672,39,75,42,445,98,0,432,2299,1248,282,169,0,37,44,0,133,21,178,183,28,0
377,70,14,349,60,127,1061,71,489,63,424,993,369,168,672,276,276,33,19,223,41,44,12,9,0,7,68,210,767,606,73,63,31,33,613,245,413,480,460,86
7,15,0,584,549,948,0,0,0,10,43,22,29,51,82,2570,1089,1136,564,439,361,158,0,0,85,425,141,228,27,227,71,10,0,12,14,11,25,276,41,10
0,0,0,0,0,0,0,0,0,0,275,807,1111,1050,1125,33,187,0,18,599,350,0,0,2313,162,214,221,224,88,25,190,322,769,140,0,0,7,0,0,0
526,0,0,14,0,0,2345,0,0,0,0,0,179,552,0,0,0,0,0,13,104,281,0,0,0,71,791,783,735,730,0,106,102,39,0,825,0,861,1136,0
433,258,0,0,0,0,23,729,216,108,413,97,217,434,1361,0,0,0,0,0,0,0,0,0,0,192,350,1613,179,104,9,39,86,59,614,207,888,355,871,106
399,182,19,1042,1558,972,0,33,0,315,0,0,0,0,0,279,275,0,24,228,0,189,133,10,141,0,0,0,767,747,76,375,408,0,0,0,0,928,808,5
62,168,160,87,24,182,97,152,64,72,521,408,392,289,443,57,398,87,66,433,113,42,515,115,668,480,407,420,371,364,102,320,202,98,61,96,241,279,137,369
666,1442,28,201,302,46,0,385,19,226,504,494,469,315,333,149,1096,482,79,177,518,243,0,0,110,7,5,232,0,0,0,54,204,93,21,104,0,356,0,153
104,0,105,0,0,0,0,579,0,1123,140,183,70,48,0,703,977,0,0,342,540,0,64,22,219,0,0,0,0,0,0,0,2169,1958,0,0,0,0,0,0
115,104,212,0,31,0,694,0,283,12,814,1148,44,169,1337,61,217,13,137,799,11,136,0,0,0,58,220,84,686,794,50,0,15,53,0,12,0,131,675,0
494,831,101,644,366,1013,65,185,0,1030,0,0,0,0,0,0,0,0,0,0,0,652,0,0,0,0,0,0,119,578,126,165,139,0,317,226,993,392,299,132
234,281,238,0,0,0,0,134,0,253,0,0,0,0,0,329,209,237,224,333,292,116,934,335,89,0,0,0,0,0,359,295,1564,1339,0,0,0,0,0,1025
802,791,39,0,0,0,0,310,0,1694,0,0,0,0,0,121,99,0,0,58,0,0,0,0,161,0,0,0,0,0,883,1117,844,516,0,0,0,0,0,1355
0,0,0,950,3,912,0,671,442,0,0,0,0,0,0,327,0,0,0,475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1484,781,579,1321,818,0
289,0,70,0,0,0,0,5,0,0,0,0,7,56,8,0,0,0,0,0,0,0,35,696,527,2096,1936,0,1134,1100,689,0,0,0,0,0,50,0,15,0
401,0,436,769,1526,177,0,0,46,0,0,74,0,45,312,0,0,451,416,0,0,0,936,988,113,22,0,0,41,264,0,0,0,87,0,190,76,165,0,0
0,0,0,0,0,0,0,0,0,0,3107,2440,664,0,0,0,0,0,0,0,0,0,0,24,20,0,711,116,66,45,0,0,0,0,28,0,40,0,0,0
98,0,21,34,0,112,22,0,113,0,0,31,0,1649,125,0,0,0,0,0,904,64,1983,609,0,83,0,0,0,73,15,0,0,0,545,71,527,0,0,0
0,995,0,0,0,0,0,0,0,513,0,0,0,0,0,0,0,1741,3618,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,23
0,0,0,147,255,110,413,0,229,45,399,339,127,108,324,32,169,212,189,411,60,163,0,0,71,203,126,307,215,96,744,0,30,51,79,449,52,406,274,0
252,128,167,0,0,0,0,19,0,87,0,0,0,0,0,98,45,268,102,119,76,64,817,162,120,0,0,0,0,0,312,460,1445,978,0,0,0,0,0,1013
227,11,55,522,49,0,59,96,94,0,1074,309,122,184,12,0,0,0,0,0,0,0,0,0,0,79,496,1004,700,554,78,0,31,0,160,399,14,233,16,0
212,0,165,1823,0,0,591,0,978,90,0,24,25,26,0,0,0,45,256,16,56,0,0,0,16,0,0,87,0,0,231,49,125,38,795,202,0,248,237,0
108,42,0,76,54,64,589,31,230,47,161,174,180,62,168,255,271,62,107,129,237,129,42,23,55,134,146,329,271,314,51,127,53,36,397,210,108,243,274,253
201,173,91,0,0,0,0,0,0,0,0,0,0,0,0,159,58,314,461,304,309,175,525,236,545,0,0,0,0,0,403,442,367,326,0,0,0,0,0,1074
167,193,92,216,201,265,83,21,154,79,209,279,536,67,415,52,62,85,194,91,27,56,111,234,50,86,235,68,366,263,52,84,53,138,233,153,166,177,123,27
119,111,77,229,101,217,83,53,84,0,129,45,0,74,235,113,43,199,286,158,185,111,365,177,370,63,0,0,83,0,275,283,291,262,64,136,330,0,0,711
204,0,172,1804,0,0,555,0,956,90,0,0,0,0,0,0,0,0,270,0,62,0,0,0,0,0,0,80,0,0,211,43,107,47,745,231,0,225,224,0
0,36,34,0,0,0,525,210,108,46,225,107,49,98,84,0,0,0,0,457,0,0,0,0,46,108,1809,189,370,370,0,305,25,0,93,221,58,164,207,0
208,0,94,297,7,56,893,0,340,0,264,267,47,91,180,72,81,0,69,31,23,49,0,0,0,0,0,104,718,516,77,7,29,25,407,281,66,127,512,0
981,52,73,26,0,18,74,138,0,140,36,90,115,59,88,558,238,74,30,404,27,28,98,17,89,99,95,88,74,131,268,167,466,132,352,73,249,73,143,27
368,235,78,72,26,71,148,319,53,282,87,58,64,69,240,975,153,69,212,60,119,97,32,13,41,42,24,55,197,180,291,97,150,331,153,113,55,61,117,67
0,669,258,0,17,0,0,0,0,408,0,0,0,0,0,0,0,0,0,0,0,0,677,157,0,0,0,0,0,0,0,216,3345,0,0,0,124,0,0,0
32,0,21,0,0,0,0,0,0,1055,0,0,0,0,0,44,30,0,0,85,14,34,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4435
10,504,3,134,30,24,0,5,0,485,0,12,36,145,1675,1281,24,0,0,168,0,7,0,0,0,82,0,0,27,68,361,0,0,14,0,0,5,0,0,505
120,170,35,142,121,313,79,62,139,76,119,41,367,125,313,129,27,0,0,15,240,130,0,0,0,110,16,0,480,586,0,60,274,0,43,37,835,302,82,0
49,0,67,78,27,41,69,0,32,110,0,4,0,19,0,5,0,0,329,40,0,203,364,0,120,982,407,107,0,0,0,304,1472,0,65,186,143,285,24,0
366,327,130,0,0,0,0,196,0,38,234,364,25,0,0,118,200,107,1117,171,84,338,0,0,26,0,0,0,878,537,0,122,68,17,0,0,0,0,0,21
0,0,0,100,196,117,385,0,168,46,323,275,112,91,296,25,152,124,183,291,55,139,0,0,0,138,94,267,173,103,610,0,0,50,76,296,58,331,204,0
0,29,1163,0,162,17,124,30,30,1079,32,456,131,37,900,12,0,0,0,0,0,24,0,0,0,79,197,266,53,0,15,20,25,17,29,37,463,0,0,24
0,0,420,73,0,0,27,402,0,595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,676,90,2642,133,0,378
977,287,538,195,120,17,453,201,79,83,309,420,138,57,121,76,116,76,11,78,18,20,0,14,0,24,112,9,108,78,70,28,31,6,108,96,14,250,60,14
0,63,4,28,21,135,145,5,58,118,242,114,247,90,66,97,403,52,68,13,430,128,19,24,10,550,139,269,172,60,120,261,607,24,78,60,179,108,107,36
0,0,0,323,1036,258,32,0,47,0,8,9,412,111,993,0,0,0,0,0,0,0,0,0,0,1284,29,0,140,322,0,0,0,0,47,0,104,0,74,0
