"";"rowSums(otu_export.fam)"
"Bacteria__Firmicutes__Bacilli__Bacillales__Planococcaceae__ASV1042";"0.000478105286958498"
"Bacteria__Proteobacteria__Gammaproteobacteria__Pseudomonadales__Moraxellaceae__ASV1141";"0.000314792322093189"
"Bacteria__Proteobacteria__Gammaproteobacteria__Burkholderiales__Neisseriaceae__ASV1208";"0.000712015303159105"
"Bacteria__Firmicutes__Clostridia__Oscillospirales__NA__ASV1245";"0.000405792722871437"
"Bacteria__Proteobacteria__Gammaproteobacteria__Enterobacterales__Pasteurellaceae__ASV1286";"0.000264611055717626"
"Bacteria__Actinobacteriota__Actinobacteria__Corynebacteriales__Dietziaceae__ASV1321";"0.00014043628873701"
"Bacteria__Firmicutes__Incertae Sedis__DTU014__NA__ASV1373";"9.42950696491547e-05"
"Bacteria__Firmicutes__Negativicutes__Veillonellales-Selenomonadales__Veillonellaceae__ASV1377";"0.000166699589541534"
"Bacteria__Bacteroidota__Bacteroidia__Bacteroidales__Porphyromonadaceae__ASV1380";"0.000167104177114949"
"Bacteria__Proteobacteria__Gammaproteobacteria__Enterobacterales__Morganellaceae__ASV1503";"4.84185297713435e-05"
"Bacteria__NA__NA__NA__NA__ASV1527";"0.000210462580648069"
"Bacteria__Proteobacteria__Gammaproteobacteria__Xanthomonadales__Xanthomonadaceae__ASV1636";"1.95874875129767e-05"
"Bacteria__Proteobacteria__Gammaproteobacteria__Enterobacterales__NA__ASV1665";"2.77685216039098e-05"
"Bacteria__Campylobacterota__Campylobacteria__Campylobacterales__Campylobacteraceae__ASV1691";"3.85839683611459e-05"
"Bacteria__Bacteroidota__Bacteroidia__Bacteroidales__NA__ASV1727";"0.000111039764904122"
"Bacteria__Firmicutes__Clostridia__Eubacteriales__Eubacteriaceae__ASV1796";"2.53004427577483e-05"
"74";"Dominant_fam"
