"","Test","LogLik_Null","LogLik_Full","Df","Chisq","PValue","Sig","adjusted_p_value","Sig_adj","Comparisons"
"1","Fisher",-50.4731614829371,-44.39877229784,1,12.1487783701942,0.000491200281935485,"***",0.00147360084580645,"**","ctr vs. ctr+rif"
"2","Fisher",-41.8596737418686,-40.2100219870515,1,3.29930350963426,0.0693092651874324,"",0.0693092651874324,"","ctr vs. ccl4"
"3","Fisher",-39.5475212117449,-37.7638250710343,1,3.56739228142116,0.0589247775574462,"",0.0693092651874324,"","ctr vs. ccl4+rif"
"4","Fisher",-50.4626302410783,-45.6627578051716,1,9.59974487181334,0.00194604405842475,"**",0.00389208811684951,"**","ctr+rif vs. ccl4"
"5","Fisher",-51.4759857130547,-43.9364434876489,1,15.0790844508116,0.000103099322117394,"***",0.000618595932704365,"***","ctr+rif vs. ccl4+rif"
"6","Fisher",-42.3400483165443,-39.9674710819533,1,4.74515446918204,0.0293809157520888,"*",0.0440713736281332,"*","ccl4 vs. ccl4+rif"
