"";"CC34_36_S5";"CC35_S16";"CC37_1_S6";"CC37_2_S31";"CC38_S32";"CC39_S33";"CC41_S34";"CC42_1_S17";"CC42_2_S35";"CC45_S15";"CCR43_S36";"CCR44_S37";"CCR45_S38";"CCR47_S39";"CCR48_S40";"CCR50_S20";"CCR51_S19";"CCR55_S7";"CCR56_S8";"CCR62_S18";"CR18_S13";"CR19_S14";"CR23_S3";"CR24_S4";"CR29_S12";"CR31_S26";"CR32_S27";"CR33_S28";"CR35_S29";"CR36_S30";"CV1_S1";"CV13_S10";"CV14_S11";"CV16_S2";"CV25_S21";"CV26_S22";"CV27_S23";"CV29_S24";"CV30_S25";"CV5_S9"
"ASV107";"0";"0";"8";"0";"23";"0";"186";"0";"0";"13";"70";"133";"189";"113";"35";"0";"117";"0";"0";"389";"168";"148";"0";"0";"0";"184";"337";"486";"0";"34";"0";"0";"0";"0";"0";"28";"0";"26";"31";"0"
"ASV108";"103";"0";"201";"0";"0";"0";"0";"68";"0";"0";"82";"48";"0";"0";"0";"94";"164";"105";"506";"102";"163";"636";"10";"38";"74";"18";"67";"120";"0";"0";"31";"8";"0";"0";"0";"0";"10";"25";"14";"0"
"ASV109";"0";"71";"0";"0";"0";"0";"0";"0";"0";"13";"0";"388";"0";"0";"0";"278";"246";"0";"0";"267";"116";"363";"0";"0";"39";"108";"94";"27";"107";"206";"0";"27";"173";"0";"11";"47";"15";"23";"27";"0"
"ASV110";"0";"17";"0";"0";"151";"0";"0";"1115";"0";"76";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"711";"232";"53";"0";"0";"0";"54";"47";"0";"73";"0";"0"
"ASV111";"504";"69";"153";"23";"0";"0";"44";"134";"47";"0";"25";"153";"0";"10";"10";"206";"159";"0";"151";"372";"29";"17";"0";"179";"0";"0";"0";"0";"57";"83";"0";"0";"0";"14";"14";"23";"19";"0";"23";"0"
"ASV112";"0";"0";"0";"47";"0";"34";"116";"1493";"94";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"21";"0";"0";"152";"143";"417"
"ASV113";"0";"12";"0";"0";"0";"0";"0";"75";"10";"130";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"187";"0";"1448";"563";"0";"0";"59";"0";"0";"0"
"ASV114";"42";"0";"0";"24";"11";"76";"38";"0";"17";"0";"185";"1034";"147";"0";"0";"21";"193";"57";"52";"71";"62";"88";"10";"13";"0";"7";"56";"27";"13";"23";"0";"23";"13";"0";"0";"0";"19";"10";"51";"21"
"ASV115";"25";"0";"0";"42";"44";"26";"62";"38";"21";"31";"63";"188";"45";"63";"169";"54";"73";"0";"0";"202";"40";"138";"0";"0";"0";"0";"191";"0";"205";"194";"103";"56";"27";"8";"54";"54";"0";"83";"38";"0"
"ASV116";"0";"0";"0";"149";"31";"27";"89";"0";"1090";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"44";"54";"0";"321";"53";"90";"339"
"ASV117";"0";"58";"0";"108";"69";"32";"122";"163";"91";"89";"335";"428";"64";"51";"41";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"17";"35";"0";"119";"52";"14";"23";"13";"0";"101";"53";"10";"94";"72";"0"
"ASV118";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2009";"41";"0";"0";"0";"0";"0";"0";"127"
"ASV119";"0";"0";"114";"0";"0";"0";"195";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"439";"191";"150";"0";"0";"0";"179";"305";"547";"0";"0";"0";"17";"9";"0";"0";"0";"0";"0";"0";"0"
"ASV120";"66";"0";"13";"10";"77";"86";"27";"19";"12";"0";"59";"59";"30";"31";"159";"19";"12";"118";"0";"16";"0";"0";"193";"176";"0";"15";"95";"91";"141";"35";"59";"14";"0";"16";"64";"73";"104";"159";"58";"38"
